system:time_start,maximum_2m_air_temperature
"Jan 1, 1979",271.459
"Feb 1, 1979",264.57
"Mar 1, 1979",273.315
"Apr 1, 1979",276.815
"May 1, 1979",284.274
"Jun 1, 1979",286.682
"Jul 1, 1979",294.976
"Aug 1, 1979",291.88
"Sep 1, 1979",284.263
"Oct 1, 1979",275.373
"Nov 1, 1979",268.075
"Dec 1, 1979",269.584
"Jan 1, 1980",270.662
"Feb 1, 1980",269.349
"Mar 1, 1980",273.121
"Apr 1, 1980",276.093
"May 1, 1980",281.768
"Jun 1, 1980",285.78
"Jul 1, 1980",294.51
"Aug 1, 1980",295.178
"Sep 1, 1980",286.126
"Oct 1, 1980",275.352
"Nov 1, 1980",273.834
"Dec 1, 1980",267.632
"Jan 1, 1981",267.846
"Feb 1, 1981",273.847
"Mar 1, 1981",271.687
"Apr 1, 1981",272.505
"May 1, 1981",278.114
"Jun 1, 1981",284.795
"Jul 1, 1981",295.51
"Aug 1, 1981",295.604
"Sep 1, 1981",295.264
"Oct 1, 1981",278.098
"Nov 1, 1981",273.298
"Dec 1, 1981",271.371
"Jan 1, 1982",271.09
"Feb 1, 1982",263.542
"Mar 1, 1982",268.087
"Apr 1, 1982",271.952
"May 1, 1982",279.229
"Jun 1, 1982",288.709
"Jul 1, 1982",292.395
"Aug 1, 1982",293.44
"Sep 1, 1982",284.692
"Oct 1, 1982",277.169
"Nov 1, 1982",271.505
"Dec 1, 1982",268.401
"Jan 1, 1983",257.583
"Feb 1, 1983",259.62
"Mar 1, 1983",268.412
"Apr 1, 1983",279.005
"May 1, 1983",279.827
"Jun 1, 1983",296.79
"Jul 1, 1983",294.705
"Aug 1, 1983",289.943
"Sep 1, 1983",287.221
"Oct 1, 1983",275.534
"Nov 1, 1983",273.957
"Dec 1, 1983",267.929
"Jan 1, 1984",256.401
"Feb 1, 1984",267.229
"Mar 1, 1984",271.046
"Apr 1, 1984",279.832
"May 1, 1984",283.125
"Jun 1, 1984",294.065
"Jul 1, 1984",291.38
"Aug 1, 1984",297.994
"Sep 1, 1984",286.761
"Oct 1, 1984",276.631
"Nov 1, 1984",270.282
"Dec 1, 1984",266.494
"Jan 1, 1985",271.497
"Feb 1, 1985",267.579
"Mar 1, 1985",271.368
"Apr 1, 1985",274.24
"May 1, 1985",280.05
"Jun 1, 1985",294.212
"Jul 1, 1985",292.812
"Aug 1, 1985",295.491
"Sep 1, 1985",287.896
"Oct 1, 1985",276.318
"Nov 1, 1985",272.197
"Dec 1, 1985",269.714
"Jan 1, 1986",269.744
"Feb 1, 1986",270.731
"Mar 1, 1986",264.952
"Apr 1, 1986",276.723
"May 1, 1986",282.381
"Jun 1, 1986",280.437
"Jul 1, 1986",296.244
"Aug 1, 1986",296.932
"Sep 1, 1986",292.815
"Oct 1, 1986",277.847
"Nov 1, 1986",271.949
"Dec 1, 1986",266.216
"Jan 1, 1987",264.664
"Feb 1, 1987",267.578
"Mar 1, 1987",267.894
"Apr 1, 1987",277.518
"May 1, 1987",279.105
"Jun 1, 1987",289.157
"Jul 1, 1987",291.967
"Aug 1, 1987",290.846
"Sep 1, 1987",289.771
"Oct 1, 1987",280.558
"Nov 1, 1987",271.886
"Dec 1, 1987",269.401
"Jan 1, 1988",262.226
"Feb 1, 1988",263.163
"Mar 1, 1988",271.711
"Apr 1, 1988",274.979
"May 1, 1988",280.739
"Jun 1, 1988",288.238
"Jul 1, 1988",296.429
"Aug 1, 1988",294.7
"Sep 1, 1988",288.238
"Oct 1, 1988",278.567
"Nov 1, 1988",269.909
"Dec 1, 1988",261.147
"Jan 1, 1989",253.886
"Feb 1, 1989",257.369
"Mar 1, 1989",267.602
"Apr 1, 1989",274.868
"May 1, 1989",276.903
"Jun 1, 1989",299.845
"Jul 1, 1989",292.361
"Aug 1, 1989",289.341
"Sep 1, 1989",285.481
"Oct 1, 1989",275.754
"Nov 1, 1989",269.999
"Dec 1, 1989",268.603
"Jan 1, 1990",259.285
"Feb 1, 1990",254.908
"Mar 1, 1990",271.954
"Apr 1, 1990",274.167
"May 1, 1990",281.487
"Jun 1, 1990",290.458
"Jul 1, 1990",297.612
"Aug 1, 1990",296.46
"Sep 1, 1990",281.338
"Oct 1, 1990",275.172
"Nov 1, 1990",272.515
"Dec 1, 1990",268.642
"Jan 1, 1991",252.329
"Feb 1, 1991",263.305
"Mar 1, 1991",271.275
"Apr 1, 1991",272.434
"May 1, 1991",276.419
"Jun 1, 1991",287.299
"Jul 1, 1991",295.687
"Aug 1, 1991",296.913
"Sep 1, 1991",282.502
"Oct 1, 1991",278.935
"Nov 1, 1991",275.84
"Dec 1, 1991",261.213
"Jan 1, 1992",270.108
"Feb 1, 1992",254.425
"Mar 1, 1992",260.71
"Apr 1, 1992",268.046
"May 1, 1992",276.269
"Jun 1, 1992",284.417
"Jul 1, 1992",294.093
"Aug 1, 1992",290.407
