date,mean_temp_k,mean_temp_c
01-Jan-79,252.326,-20.824
01-Feb-79,248.068,-25.082
01-Mar-79,252.289,-20.861
01-Apr-79,263.987,-9.163
01-May-79,273.622,0.472
01-Jun-79,275.259,2.109
01-Jul-79,282.383,9.233
01-Aug-79,280.812,7.662
01-Sep-79,273.779,0.629
01-Oct-79,266.374,-6.776
01-Nov-79,258.963,-14.187
01-Dec-79,249.272,-23.878
01-Jan-80,253.945,-19.205
01-Feb-80,249.984,-23.166
01-Mar-80,255.817,-17.333
01-Apr-80,261.229,-11.921
01-May-80,271.332,-1.818
01-Jun-80,276.725,3.575
01-Jul-80,282.17,9.02
01-Aug-80,283.863,10.713
01-Sep-80,274.178,1.028
01-Oct-80,268.24,-4.91
01-Nov-80,260.623,-12.527
01-Dec-80,249.694,-23.456
01-Jan-81,250.906,-22.244
01-Feb-81,254.377,-18.773
01-Mar-81,260.888,-12.262
01-Apr-81,260.703,-12.447
01-May-81,269.663,-3.487
01-Jun-81,274.808,1.658
01-Jul-81,282.098,8.948
01-Aug-81,282.33,9.18
01-Sep-81,278.167,5.017
01-Oct-81,269.442,-3.708
01-Nov-81,262.174,-10.976
01-Dec-81,255.848,-17.302
01-Jan-82,252.637,-20.513
01-Feb-82,243.187,-29.963
01-Mar-82,250.002,-23.148
01-Apr-82,258.853,-14.297
01-May-82,269.782,-3.368
01-Jun-82,275.425,2.275
01-Jul-82,281.092,7.942
01-Aug-82,280.081,6.931
01-Sep-82,272.598,-0.552
01-Oct-82,266.087,-7.063
01-Nov-82,258.878,-14.272
01-Dec-82,246.12,-27.03
01-Jan-83,240.075,-33.075
01-Feb-83,245.666,-27.484
01-Mar-83,251.69,-21.46
01-Apr-83,266.091,-7.059
01-May-83,269.795,-3.355
01-Jun-83,277.62,4.47
01-Jul-83,281.485,8.335
01-Aug-83,279.633,6.483
01-Sep-83,274.763,1.613
01-Oct-83,267.593,-5.557
01-Nov-83,259.788,-13.362
01-Dec-83,249.39,-23.76
01-Jan-84,240.119,-33.031
01-Feb-84,246.06,-27.09
01-Mar-84,254.298,-18.852
01-Apr-84,262.82,-10.33
01-May-84,271.442,-1.708
01-Jun-84,276.959,3.809
01-Jul-84,282.306,9.156
01-Aug-84,281.271,8.121
01-Sep-84,273.584,0.434
01-Oct-84,267.257,-5.893
01-Nov-84,261.545,-11.605
01-Dec-84,246.92,-26.23
01-Jan-85,254.9,-18.25
01-Feb-85,249.913,-23.237
01-Mar-85,254.584,-18.566
