date,min_temp_k,min_temp_c
01-Jan-79,235.128,-38.022
01-Feb-79,233.972,-39.178
01-Mar-79,237.432,-35.718
01-Apr-79,245.792,-27.358
01-May-79,266.328,-6.822
01-Jun-79,266.534,-6.616
01-Jul-79,271.641,-1.509
01-Aug-79,272.129,-1.021
01-Sep-79,259.206,-13.944
01-Oct-79,253.711,-19.439
01-Nov-79,243.832,-29.318
01-Dec-79,235.11,-38.04
01-Jan-80,234.712,-38.438
01-Feb-80,234.901,-38.249
01-Mar-80,236.459,-36.691
01-Apr-80,247.611,-25.539
01-May-80,261.198,-11.952
01-Jun-80,267.956,-5.194
01-Jul-80,275.179,2.029
01-Aug-80,275.141,1.991
01-Sep-80,259.74,-13.41
01-Oct-80,256.413,-16.737
01-Nov-80,247.248,-25.902
01-Dec-80,234.862,-38.288
01-Jan-81,241.004,-32.146
01-Feb-81,235.379,-37.771
01-Mar-81,244.025,-29.125
01-Apr-81,244.194,-28.956
01-May-81,258.992,-14.158
01-Jun-81,266.811,-6.339
01-Jul-81,271.61,-1.54
01-Aug-81,271.437,-1.713
01-Sep-81,266.962,-6.188
01-Oct-81,255.893,-17.257
01-Nov-81,250.305,-22.845
01-Dec-81,239.955,-33.195
01-Jan-82,236.416,-36.734
01-Feb-82,230.423,-42.727
01-Mar-82,235.058,-38.092
01-Apr-82,244.008,-29.142
01-May-82,261.825,-11.325
01-Jun-82,267.1,-6.05
01-Jul-82,270.554,-2.596
01-Aug-82,270.822,-2.328
01-Sep-82,261.983,-11.167
01-Oct-82,251.242,-21.908
01-Nov-82,242.472,-30.678
01-Dec-82,234.639,-38.511
01-Jan-83,229.265,-43.885
01-Feb-83,234.955,-38.195
01-Mar-83,234.576,-38.574
01-Apr-83,245.912,-27.238
01-May-83,258.741,-14.409
01-Jun-83,267.06,-6.09
01-Jul-83,272.152,-0.998
01-Aug-83,270.821,-2.329
01-Sep-83,267.176,-5.974
01-Oct-83,255.285,-17.865
01-Nov-83,242.466,-30.684
01-Dec-83,237.405,-35.745
01-Jan-84,229.275,-43.875
01-Feb-84,231.193,-41.957
01-Mar-84,239.377,-33.773
01-Apr-84,240.509,-32.641
01-May-84,263.698,-9.452
01-Jun-84,266.644,-6.506
01-Jul-84,273.257,0.107
01-Aug-84,272.578,-0.572
01-Sep-84,265.962,-7.188
01-Oct-84,255.104,-18.046
01-Nov-84,247.867,-25.283
01-Dec-84,233.684,-39.466
01-Jan-85,236.39,-36.76
01-Feb-85,230.224,-42.926
01-Mar-85,235.225,-37.925
01-Apr-85,246.385,-26.765
01-May-85,251.093,-22.057
01-Jun-85,268.775,-4.375
01-Jul-85,275.615,2.465
01-Aug-85,272.18,-0.97
01-Sep-85,264.003,-9.147
01-Oct-85,255.587,-17.563
01-Nov-85,245.565,-27.585
01-Dec-85,237.036,-36.114
01-Jan-86,232.618,-40.532
01-Feb-86,235.056,-38.094
01-Mar-86,234.295,-38.855
01-Apr-86,246.612,-26.538
01-May-86,257.958,-15.192
01-Jun-86,266.603,-6.547
01-Jul-86,273.053,-0.097
01-Aug-86,273.324,0.174
01-Sep-86,265.313,-7.837
01-Oct-86,253.006,-20.144
01-Nov-86,237.285,-35.865
01-Dec-86,234.748,-38.402
01-Jan-87,237.246,-35.904
01-Feb-87,235.226,-37.924
01-Mar-87,241.17,-31.98
01-Apr-87,246.995,-26.155
01-May-87,259.369,-13.781
01-Jun-87,268.094,-5.056
01-Jul-87,270.755,-2.395
01-Aug-87,273.072,-0.078
01-Sep-87,270.395,-2.755
01-Oct-87,256.622,-16.528
01-Nov-87,244.905,-28.245
01-Dec-87,236.236,-36.914
01-Jan-88,232.757,-40.393
01-Feb-88,235.059,-38.091
01-Mar-88,235.883,-37.267
01-Apr-88,251.186,-21.964
01-May-88,261.968,-11.182
01-Jun-88,267.275,-5.875
01-Jul-88,272.427,-0.723
01-Aug-88,273.942,0.792
01-Sep-88,267.803,-5.347
01-Oct-88,258.913,-14.237
01-Nov-88,253.187,-19.963
01-Dec-88,237.548,-35.602
01-Jan-89,232.301,-40.849
01-Feb-89,230.982,-42.168
01-Mar-89,237.454,-35.696
01-Apr-89,243.917,-29.233
01-May-89,257.006,-16.144
