Year,Month,Day,Tmean_C,Tmin_C,Tmax_C
1981,1,1,-23.41698174,-23.41698174,-23.41698174
1981,1,2,-18.24164983,-18.24164983,-18.24164983
1981,1,3,-10.17104724,-10.17104724,-10.17104724
1981,1,4,-4.823654149,-4.823654149,-4.823654149
1981,1,5,-9.392759627,-9.392759627,-9.392759627
1981,1,6,-12.2380113,-12.2380113,-12.2380113
1981,1,7,-18.67273821,-18.67273821,-18.67273821
1981,1,8,-13.42085383,-13.42085383,-13.42085383
1981,1,9,-13.70103424,-13.70103424,-13.70103424
1981,1,10,-23.21450102,-23.21450102,-23.21450102
1981,1,11,-21.09252507,-21.09252507,-21.09252507
1981,1,12,-10.86943462,-10.86943462,-10.86943462
1981,1,13,-18.28846401,-18.28846401,-18.28846401
1981,1,14,-22.00785465,-22.00785465,-22.00785465
1981,1,15,-22.96931591,-22.96931591,-22.96931591
1981,1,16,-23.562056,-23.562056,-23.562056
1981,1,17,-25.37863566,-25.37863566,-25.37863566
1981,1,18,-22.83120938,-22.83120938,-22.83120938
1981,1,19,-18.37161021,-18.37161021,-18.37161021
1981,1,20,-11.40508503,-11.40508503,-11.40508503
1981,1,21,-18.85860265,-18.85860265,-18.85860265
1981,1,22,-21.43231503,-21.43231503,-21.43231503
1981,1,23,-19.55750665,-19.55750665,-19.55750665
1981,1,24,-16.95714632,-16.95714632,-16.95714632
1981,1,25,-14.86894616,-14.86894616,-14.86894616
1981,1,26,-17.90852168,-17.90852168,-17.90852168
1981,1,27,-17.3060637,-17.3060637,-17.3060637
1981,1,28,-12.81180116,-12.81180116,-12.81180116
1981,1,29,-15.86631353,-15.86631353,-15.86631353
1981,1,30,-20.5176142,-20.5176142,-20.5176142
1981,1,31,-20.90710871,-20.90710871,-20.90710871
1981,2,1,-21.5413338,-21.5413338,-21.5413338
1981,2,2,-20.53610608,-20.53610608,-20.53610608
1981,2,3,-15.85131889,-15.85131889,-15.85131889
1981,2,4,-17.89966439,-17.89966439,-17.89966439
1981,2,5,-20.44998016,-20.44998016,-20.44998016
1981,2,6,-22.28226603,-22.28226603,-22.28226603
1981,2,7,-24.69827257,-24.69827257,-24.69827257
1981,2,8,-21.97425995,-21.97425995,-21.97425995
1981,2,9,-19.17846206,-19.17846206,-19.17846206
1981,2,10,-13.60050967,-13.60050967,-13.60050967
1981,2,11,-20.7193304,-20.7193304,-20.7193304
1981,2,12,-14.39031403,-14.39031403,-14.39031403
1981,2,13,-26.449125,-26.449125,-26.449125
1981,2,14,-25.94987161,-25.94987161,-25.94987161
1981,2,15,-27.38100592,-27.38100592,-27.38100592
1981,2,16,-18.29121054,-18.29121054,-18.29121054
1981,2,17,-9.380565917,-9.380565917,-9.380565917
1981,2,18,-12.61584987,-12.61584987,-12.61584987
1981,2,19,-13.35576408,-13.35576408,-13.35576408
1981,2,20,-6.440105791,-6.440105791,-6.440105791
1981,2,21,-5.281432772,-5.281432772,-5.281432772
1981,2,22,-6.619185624,-6.619185624,-6.619185624
1981,2,23,-3.838125045,-3.838125045,-3.838125045
1981,2,24,-1.049100139,-1.049100139,-1.049100139
1981,2,25,-0.775503832,-0.775503832,-0.775503832
1981,2,26,-2.284891427,-2.284891427,-2.284891427
1981,2,27,-6.693644583,-6.693644583,-6.693644583
1981,2,28,-13.67805531,-13.67805531,-13.67805531
1981,3,1,-14.28161724,-14.28161724,-14.28161724
1981,3,2,-6.411026742,-6.411026742,-6.411026742
1981,3,3,-1.104593276,-1.104593276,-1.104593276
1981,3,4,-0.589896209,-0.589896209,-0.589896209
1981,3,5,-2.358164224,-2.358164224,-2.358164224
1981,3,6,-4.373011591,-4.373011591,-4.373011591
1981,3,7,-6.072036267,-6.072036267,-6.072036267
1981,3,8,-5.878198041,-5.878198041,-5.878198041
1981,3,9,-7.320574514,-7.320574514,-7.320574514
1981,3,10,-10.58492908,-10.58492908,-10.58492908
1981,3,11,-13.60885068,-13.60885068,-13.60885068
1981,3,12,-14.80811747,-14.80811747,-14.80811747
1981,3,13,-17.1833711,-17.1833711,-17.1833711
1981,3,14,-15.03976052,-15.03976052,-15.03976052
1981,3,15,-13.63665944,-13.63665944,-13.63665944
1981,3,16,-5.534847049,-5.534847049,-5.534847049
1981,3,17,-1.393652075,-1.393652075,-1.393652075
1981,3,18,-2.272065746,-2.272065746,-2.272065746
1981,3,19,-2.151580074,-2.151580074,-2.151580074
1981,3,20,-3.199050262,-3.199050262,-3.199050262
1981,3,21,-5.380685758,-5.380685758,-5.380685758
1981,3,22,-8.073912167,-8.073912167,-8.073912167
1981,3,23,-8.517550485,-8.517550485,-8.517550485
1981,3,24,-10.70687623,-10.70687623,-10.70687623
1981,3,25,-9.926755393,-9.926755393,-9.926755393
1981,3,26,-9.811036815,-9.811036815,-9.811036815
1981,3,27,-11.57103339,-11.57103339,-11.57103339
1981,3,28,-12.15520384,-12.15520384,-12.15520384
1981,3,29,-14.48406405,-14.48406405,-14.48406405
1981,3,30,-17.62159441,-17.62159441,-17.62159441
1981,3,31,-19.773225,-19.773225,-19.773225
1981,4,1,-19.36169898,-19.36169898,-19.36169898
1981,4,2,-12.59511425,-12.59511425,-12.59511425
1981,4,3,-11.2834318,-11.2834318,-11.2834318
1981,4,4,-15.71105724,-15.71105724,-15.71105724
1981,4,5,-19.63581997,-19.63581997,-19.63581997
1981,4,6,-14.75679221,-14.75679221,-14.75679221
1981,4,7,-9.759590181,-9.759590181,-9.759590181
1981,4,8,-12.11731567,-12.11731567,-12.11731567
1981,4,9,-14.21710618,-14.21710618,-14.21710618
1981,4,10,-12.19020339,-12.19020339,-12.19020339
1981,4,11,-11.03790662,-11.03790662,-11.03790662
