year,month,t_ave
1981,1,-17.45359231
1981,2,-14.75733055
1981,3,-8.897546424
1981,4,-9.345671587
1981,5,-1.643190188
1981,6,3.059624927
1981,7,9.052200194
1981,8,9.080860383
1981,9,6.058322928
1981,10,-0.666091684
1981,11,-7.287314023
1981,12,-12.39634034
1982,1,-15.90868586
1982,2,-24.35171395
1982,3,-18.48226334
1982,4,-10.97255007
1982,5,-1.734127475
1982,6,3.216551405
1982,7,8.163812969
1982,8,7.227541085
1982,9,1.622799243
1982,10,-3.385626209
1982,11,-10.23078344
1982,12,-21.2077409
1983,1,-27.40374039
1983,2,-22.57668767
1983,3,-17.44106303
1983,4,-4.943092006
1983,5,-1.722133677
1983,6,4.62962331
1983,7,8.114043636
1983,8,7.13727635
1983,9,3.174612837
1983,10,-2.704480677
1983,11,-9.038841759
1983,12,-18.56161006
1984,1,-27.14466875
1984,2,-22.47302297
1984,3,-15.29368336
1984,4,-7.968256128
1984,5,-0.294471792
1984,6,4.307627056
1984,7,8.343591142
1984,8,8.724508158
1984,9,2.14767153
1984,10,-3.127936685
1984,11,-7.749318831
1984,12,-20.49696369
1985,1,-14.04071183
1985,2,-18.71745113
1985,3,-15.22592975
1985,4,-9.622665319
1985,5,-3.352727498
1985,6,5.921212776
1985,7,8.993595661
1985,8,8.290301324
1985,9,4.369604125
1985,10,-3.048646607
1985,11,-6.382680043
1985,12,-12.62222061
1986,1,-19.85811124
1986,2,-15.89268074
1986,3,-20.43971349
1986,4,-6.058835324
1986,5,-0.159639146
1986,6,0.765533385
1986,7,7.865175503
1986,8,10.354985
1986,9,4.191968389
1986,10,-4.944254056
1986,11,-15.15538263
1986,12,-19.08758921
1987,1,-20.58457285
1987,2,-16.93841867
1987,3,-15.67332142
1987,4,-6.255157297
1987,5,-2.376699164
1987,6,3.840010229
1987,7,7.322610072
1987,8,8.287453348
1987,9,4.906310294
1987,10,-1.806897165
1987,11,-9.039323733
1987,12,-16.16682679
1988,1,-25.09350638
1988,2,-23.33914417
1988,3,-14.0271002
1988,4,-5.989322695
1988,5,-0.344397356
1988,6,2.361362329
1988,7,8.269276681
1988,8,9.134383085
1988,9,3.688602749
1988,10,-0.464624083
1988,11,-6.512641062
1988,12,-20.19522131
1989,1,-25.68034521
1989,2,-24.65647372
1989,3,-20.21122701
1989,4,-6.570232235
1989,5,-2.634657422
1989,6,5.178037863
1989,7,7.983538605
1989,8,6.831897194
1989,9,2.778753089
1989,10,-2.14373095
1989,11,-10.00918273
1989,12,-16.24488048
1990,1,-21.80081456
1990,2,-25.48322364
1990,3,-15.93122681
1990,4,-9.990379695
1990,5,-1.927329216
1990,6,3.956151934
1990,7,8.35899093
1990,8,8.366458519
1990,9,1.547046188
1990,10,-3.073255964
1990,11,-7.15726315
1990,12,-19.95248646
1991,1,-27.65302567
1991,2,-24.21703118
1991,3,-13.47635444
1991,4,-10.40335473
1991,5,-2.786355124
1991,6,3.056351588
1991,7,8.072025327
1991,8,8.247520503
1991,9,3.451180278
1991,10,-2.647434878
1991,11,-7.3950467
1991,12,-20.50157698
1992,1,-20.09322687
1992,2,-26.49530381
1992,3,-17.71300381
1992,4,-12.48729233
1992,5,-4.21376035
1992,6,1.234688457
1992,7,7.777137097
1992,8,6.826477393
1992,9,3.217966663
1992,10,-1.273648218
1992,11,-12.22420874
1992,12,-20.68101278
1993,1,-23.62287162
1993,2,-24.99929476
1993,3,-18.88666751
1993,4,-10.12335996
1993,5,-1.854643405
1993,6,3.697635127
1993,7,9.660123084
1993,8,7.866159148
1993,9,3.403632651
1993,10,-3.105570472
1993,11,-12.01136735
1993,12,-17.8341772
1994,1,-23.89509448
1994,2,-23.22949857
1994,3,-17.21003789
1994,4,-9.416896536
1994,5,-1.599032026
1994,6,4.633996169
1994,7,8.611827074
1994,8,6.591405326
1994,9,4.602758484
1994,10,0.094409294
1994,11,-6.251938845
1994,12,-16.78489875
1995,1,-21.95616964
1995,2,-23.9811331
1995,3,-18.49797427
1995,4,-5.769615204
1995,5,1.144837296
1995,6,4.854067145
1995,7,10.03350221
1995,8,7.735061772
1995,9,3.699261715
1995,10,-2.017121319
1995,11,-7.97498615
1995,12,-13.56950777
1996,1,-21.92785994
1996,2,-15.63682263
1996,3,-14.6131207
1996,4,-3.058902528
1996,5,-2.082406974
1996,6,2.350436774
1996,7,7.740090183
1996,8,9.010555825
1996,9,4.035496153
1996,10,-1.925189208
1996,11,-6.077148529
1996,12,-13.77425022
1997,1,-17.61628194
1997,2,-25.7546721
1997,3,-17.5135923
1997,4,-9.423211898
1997,5,-0.799300447
1997,6,3.752237239
1997,7,7.218712018
1997,8,8.587245356
1997,9,4.490768116
1997,10,-1.592381216
1997,11,-8.195962335
1997,12,-13.69917705
1998,1,-20.62286304
1998,2,-20.69064227
1998,3,-16.46679875
1998,4,-6.495662633
1998,5,-0.128045706
1998,6,4.843705677
1998,7,9.459283075
1998,8,8.686455818
1998,9,6.038577958
1998,10,-2.143434145
1998,11,-7.259458363
1998,12,-14.26028473
1999,1,-20.69324836
1999,2,-18.52791895
1999,3,-10.35419938
1999,4,-5.917357956
1999,5,0.065980793
1999,6,4.68402303
1999,7,8.998630841
1999,8,8.31793512
1999,9,4.104102901
1999,10,-3.733274612
1999,11,-9.053564147
1999,12,-13.05227895
2000,1,-21.22412674
2000,2,-21.94361682
2000,3,-12.72151311
2000,4,-7.891308939
2000,5,-2.226136172
2000,6,3.21974983
2000,7,9.88720115
2000,8,10.51708989
2000,9,4.473610985
2000,10,-2.910725329
2000,11,-6.015097767
2000,12,-10.63998031
2001,1,-22.23133856
2001,2,-20.65529664
2001,3,-8.261236743
2001,4,-8.386515039
2001,5,1.294615817
2001,6,4.184192836
2001,7,7.729177906
2001,8,9.041417079
2001,9,3.883112248
2001,10,-0.553809819
2001,11,-7.369848702
2001,12,-9.169855479
2002,1,-23.54166371
2002,2,-22.13503313
2002,3,-17.81477481
2002,4,-9.340138976
2002,5,-2.641066883
2002,6,2.853140953
2002,7,8.773049476
2002,8,8.101726231
2002,9,4.818397772
2002,10,-0.99491516
2002,11,-8.161740633
2002,12,-13.87238729
2003,1,-16.0426058
2003,2,-23.53448789
2003,3,-20.23399674
2003,4,-8.919712348
2003,5,1.231217831
2003,6,4.767712379
2003,7,9.595517611
2003,8,9.50249238
2003,9,8.047722887
2003,10,-0.252679038
2003,11,-5.437799392
2003,12,-10.79563138
2004,1,-16.49898141
2004,2,-18.12375592
2004,3,-16.34108667
2004,4,-7.785813077
2004,5,-1.15844046
2004,6,4.141400038
2004,7,9.631835946
2004,8,8.830382038
2004,9,3.610995942
2004,10,0.914814643
2004,11,-6.094115431
2004,12,-17.34186641
2005,1,-24.46057059
2005,2,-17.74321254
2005,3,-12.22527442
2005,4,-4.645602578
2005,5,1.411054039
2005,6,5.506308249
2005,7,9.912564445
2005,8,7.719631805
2005,9,4.72264768
2005,10,0.715352238
2005,11,-6.133977336
2005,12,-13.73380851
2006,1,-18.44056329
2006,2,-14.92920851
2006,3,-8.553845685
2006,4,-3.854904577
2006,5,2.334532446
2006,6,6.144731132
2006,7,9.763521243
2006,8,8.359092621
2006,9,5.010173609
2006,10,1.018542089
2006,11,-6.038237159
2006,12,-13.00501168
2007,1,-15.990753
2007,2,-13.85609331
2007,3,-15.91296592
2007,4,-7.264095792
2007,5,-3.253756067
2007,6,4.443842461
2007,7,10.0955134
2007,8,8.65497801
2007,9,2.656142219
2007,10,-1.034277931
2007,11,-9.68530372
2007,12,-19.33061514
2008,1,-21.62658602
2008,2,-22.39020812
2008,3,-17.52562654
2008,4,-5.349108129
2008,5,1.282152622
2008,6,7.921695117
2008,7,10.13712205
2008,8,9.554999305
2008,9,4.218033421
2008,10,0.244050443
2008,11,-5.900000523
2008,12,-17.65680169
2009,1,-17.52097557
2009,2,-16.10464821
2009,3,-15.51729255
2009,4,-8.695070548
2009,5,-3.822606761
2009,6,3.304483347
2009,7,8.673788457
2009,8,7.180368176
2009,9,3.435120751
2009,10,-2.029686602
2009,11,-6.454020278
