Date,T
2010-01-01,-15.718
2010-01-02,-7.632
2010-01-03,-4.258
2010-01-04,-4.995
2010-01-05,-4.417
2010-01-06,-3.406
2010-01-07,-4.92
2010-01-08,-12.015
2010-01-09,-21.037
2010-01-10,-24.175
2010-01-11,-20.9
2010-01-12,-18.334
2010-01-13,-23.138
2010-01-14,-21.477
2010-01-15,-19.052
2010-01-16,-24.514
2010-01-17,-25.283
2010-01-18,-24.897
2010-01-19,-21.904
2010-01-20,-17.905
2010-01-21,-22.675
2010-01-22,-25.422
2010-01-23,-23.993
2010-01-24,-25.255
2010-01-25,-17.725
2010-01-26,-7.082
2010-01-27,-10.248
2010-01-28,-15.902
2010-01-29,-20.314
2010-01-30,-19.165
2010-01-31,-20.109
2010-02-01,-28.052
2010-02-02,-30.391
2010-02-03,-28.45
2010-02-04,-21.26
2010-02-05,-11.573
2010-02-06,-9.973
2010-02-07,-8.411
2010-02-08,-13.248
2010-02-09,-12.507
2010-02-10,-16.436
2010-02-11,-14.541
2010-02-12,-14.592
2010-02-13,-12.627
2010-02-14,-7.519
2010-02-15,-4.244
2010-02-16,-3.447
2010-02-17,-3.085
2010-02-18,-3.151
2010-02-19,-3.162
2010-02-20,-3.717
2010-02-21,-2.873
2010-02-22,-4.522
2010-02-23,-4.3
2010-02-24,-5.205
2010-02-25,-7.967
2010-02-26,-10.284
2010-02-27,-7.99
2010-02-28,-10.287
2010-03-01,-22.957
2010-03-02,-20.569
2010-03-03,-20.547
2010-03-04,-25.822
2010-03-05,-17.585
2010-03-06,-10.886
2010-03-07,-12.803
2010-03-08,-11.566
2010-03-09,-13.236
2010-03-10,-13.662
2010-03-11,-14.618
2010-03-12,-15.784
2010-03-13,-10.238
2010-03-14,-7.105
2010-03-15,-6.928
2010-03-16,-9.858
2010-03-17,-12.227
2010-03-18,-12.038
2010-03-19,-15.026
2010-03-20,-17.475
2010-03-21,-18.954
2010-03-22,-16.942
2010-03-23,-23.433
2010-03-24,-17.564
2010-03-25,-11.562
2010-03-26,-10.179
2010-03-27,-21.214
2010-03-28,-22.039
2010-03-29,-18.119
2010-03-30,-16.156
2010-03-31,-13.125
2010-04-01,-3.746
2010-04-02,-1.085
2010-04-03,-6.341
2010-04-04,-7.042
2010-04-05,-2.072
2010-04-06,-2.074
2010-04-07,-3.003
2010-04-08,-4.448
2010-04-09,-5.808
2010-04-10,-7.373
2010-04-11,-5.723
2010-04-12,-9.384
2010-04-13,-13.53
2010-04-14,-12.507
2010-04-15,-14.65
2010-04-16,-12.064
2010-04-17,-7.785
2010-04-18,-1.857
2010-04-19,0.329
2010-04-20,-0.166
2010-04-21,-3.556
2010-04-22,-2.434
2010-04-23,-3.475
2010-04-24,-5.558
2010-04-25,-6.961
2010-04-26,-5.531
2010-04-27,-6.513
2010-04-28,-3.177
2010-04-29,-2.142
2010-04-30,-1.788
2010-05-01,-0.317
2010-05-02,-2.51
2010-05-03,-3.016
2010-05-04,-6.436
2010-05-05,-7.803
2010-05-06,-5.723
2010-05-07,-1.683
2010-05-08,0.352
2010-05-09,0.889
2010-05-10,0.079
2010-05-11,-3.22
2010-05-12,-2.797
2010-05-13,-1.008
2010-05-14,-2.041
2010-05-15,-1.289
2010-05-16,-0.774
2010-05-17,2.539
2010-05-18,1.697
2010-05-19,-1.423
2010-05-20,-4.395
2010-05-21,-4.557
2010-05-22,-5.129
2010-05-23,-3.835
2010-05-24,-0.604
2010-05-25,2.991
2010-05-26,-0.122
2010-05-27,3.991
2010-05-28,7.514
2010-05-29,6.085
2010-05-30,-0.748
2010-05-31,-0.175
2010-06-01,-0.197
2010-06-02,0.005
2010-06-03,-0.382
2010-06-04,1.684
2010-06-05,1.098
2010-06-06,1.802
2010-06-07,1.922
2010-06-08,2.269
2010-06-09,5.946
2010-06-10,10.992
2010-06-11,3.661
2010-06-12,-0.873
2010-06-13,1.192
2010-06-14,-0.188
2010-06-15,0.958
2010-06-16,-0.052
2010-06-17,1.894
2010-06-18,2.434
2010-06-19,2.554
2010-06-20,3.258
2010-06-21,2.503
2010-06-22,4.21
2010-06-23,5.024
2010-06-24,6.361
2010-06-25,3.374
2010-06-26,-0.22
2010-06-27,2.731
2010-06-28,1.258
2010-06-29,3.088
2010-06-30,7.879
2010-07-01,9.146
2010-07-02,9.615
2010-07-03,6.164
2010-07-04,3.647
2010-07-05,7.182
2010-07-06,10.332
2010-07-07,10.683
2010-07-08,12.95
2010-07-09,11.724
2010-07-10,12.102
2010-07-11,11.575
2010-07-12,15.69
2010-07-13,16.709
2010-07-14,11.164
2010-07-15,10.968
2010-07-16,8.413
2010-07-17,4.656
2010-07-18,3.589
2010-07-19,4.443
2010-07-20,8.67
2010-07-21,8.651
2010-07-22,8.343
2010-07-23,12.073
2010-07-24,12.566
2010-07-25,7.87
2010-07-26,3.911
2010-07-27,5.898
2010-07-28,5.312
2010-07-29,6.497
2010-07-30,7.018
2010-07-31,9.514
2010-08-01,10.804
2010-08-02,12.487
2010-08-03,13.558
2010-08-04,14.411
2010-08-05,16.254
2010-08-06,10.294
2010-08-07,9.638
2010-08-08,9.623
2010-08-09,8.128
2010-08-10,7.271
2010-08-11,7.617
2010-08-12,9.447
2010-08-13,9.492
2010-08-14,11.718
2010-08-15,16.376
2010-08-16,19.183
2010-08-17,19.637
2010-08-18,16.952
2010-08-19,11.535
2010-08-20,11.998
2010-08-21,13.175
2010-08-22,15.076
2010-08-23,15.778
2010-08-24,10.135
2010-08-25,14.713
2010-08-26,17.088
2010-08-27,10.186
2010-08-28,8.986
2010-08-29,8.45
2010-08-30,6.21
2010-08-31,5.166
2010-09-01,3.507
2010-09-02,5.685
2010-09-03,6.052
2010-09-04,3.939
2010-09-05,1.647
2010-09-06,2.357
2010-09-07,3.987
2010-09-08,6.07
2010-09-09,6.809
2010-09-10,3.746
2010-09-11,1.31
2010-09-12,3.348
2010-09-13,8.478
2010-09-14,10.769
2010-09-15,9.523
2010-09-16,8.725
2010-09-17,7.493
2010-09-18,8.359
2010-09-19,7.567
2010-09-20,3.85
2010-09-21,0.85
2010-09-22,-0.512
2010-09-23,1.44
2010-09-24,1.086
2010-09-25,0.28
2010-09-26,0.299
2010-09-27,3.051
2010-09-28,0.673
2010-09-29,-2.032
2010-09-30,-0.126
2010-10-01,4.258
2010-10-02,0.859
2010-10-03,-1.317
2010-10-04,2.092
2010-10-05,-1.04
2010-10-06,-4.451
2010-10-07,0.478
2010-10-08,-0.016
2010-10-09,-1.37
2010-10-10,0.875
2010-10-11,-0.181
2010-10-12,-0.87
2010-10-13,0.29
2010-10-14,-1.228
2010-10-15,0.001
2010-10-16,-0.867
2010-10-17,-2.318
2010-10-18,0.228
2010-10-19,0.551
2010-10-20,-1.185
2010-10-21,-3.815
2010-10-22,-2.885
2010-10-23,-1.978
2010-10-24,-1.937
2010-10-25,-3.518
2010-10-26,-4.555
2010-10-27,-7.018
2010-10-28,-2.911
2010-10-29,-2.106
2010-10-30,-4.6
2010-10-31,-5.833
2010-11-01,-6.971
2010-11-02,-5.017
2010-11-03,-5.859
2010-11-04,-2.691
2010-11-05,-2.92
2010-11-06,-6.372
2010-11-07,-9.916
2010-11-08,-4.914
2010-11-09,-5.843
2010-11-10,-8.441
2010-11-11,-7.331
2010-11-12,-3.481
2010-11-13,-3.34
2010-11-14,-8.12
2010-11-15,-9.185
2010-11-16,-4.035
2010-11-17,-8.081
2010-11-18,-7.148
2010-11-19,-3.33
2010-11-20,-8.436
2010-11-21,-10.074
2010-11-22,-10.919
2010-11-23,-12.134
2010-11-24,-2.045
2010-11-25,-0.936
2010-11-26,-1.359
2010-11-27,-2.451
2010-11-28,-8.338
2010-11-29,-6.208
2010-11-30,-6.878
2010-12-01,-6.126
2010-12-02,-0.987
2010-12-03,-0.658
2010-12-04,-1.924
2010-12-05,-1.045
2010-12-06,-3.717
2010-12-07,-1.957
2010-12-08,-4.108
2010-12-09,-8.546
2010-12-10,-17.605
2010-12-11,-19.338
2010-12-12,-17.994
2010-12-13,-20.909
2010-12-14,-10.583
2010-12-15,-6.258
2010-12-16,-3.416
2010-12-17,-1.137
2010-12-18,-0.222
2010-12-19,-1.626
2010-12-20,-3.248
2010-12-21,-7.067
2010-12-22,-6.807
2010-12-23,-9.159
2010-12-24,-11.777
2010-12-25,-13.566
2010-12-26,-14.459
2010-12-27,-16.64
2010-12-28,-16.095
2010-12-29,-16.337
2010-12-30,-11.142
2010-12-31,-8.674
2011-01-01,-13.534
2011-01-02,-10.142
2011-01-03,-3.11
2011-01-04,-2.77
2011-01-05,-1.795
2011-01-06,-2.19
2011-01-07,-2.558
2011-01-08,-2.825
2011-01-09,-5.367
2011-01-10,-6.378
2011-01-11,-6.747
2011-01-12,-8.941
2011-01-13,-12.373
2011-01-14,-14.2
2011-01-15,-15.228
2011-01-16,-17.533
2011-01-17,-18.78
2011-01-18,-23.421
2011-01-19,-23.468
2011-01-20,-25.509
2011-01-21,-21.915
2011-01-22,-17.671
2011-01-23,-10.508
2011-01-24,-16.145
2011-01-25,-16.624
2011-01-26,-25.523
2011-01-27,-29.857
2011-01-28,-29.889
2011-01-29,-30.309
2011-01-30,-32.221
2011-01-31,-36.271
2011-02-01,-38.464
2011-02-02,-34.641
2011-02-03,-33.128
2011-02-04,-30.451
2011-02-05,-23.579
2011-02-06,-26.544
2011-02-07,-29.034
2011-02-08,-30.835
2011-02-09,-30.726
2011-02-10,-33.254
2011-02-11,-36.085
2011-02-12,-32.772
2011-02-13,-30.413
2011-02-14,-31.418
2011-02-15,-29.742
2011-02-16,-26.338
2011-02-17,-18.281
2011-02-18,-22.6
2011-02-19,-14.858
2011-02-20,-13.381
2011-02-21,-17.618
2011-02-22,-21.046
2011-02-23,-21.264
2011-02-24,-17.364
2011-02-25,-18.543
2011-02-26,-26.882
2011-02-27,-29.399
2011-02-28,-23.897
2011-03-01,-20.522
2011-03-02,-26.009
2011-03-03,-28.477
2011-03-04,-29.658
2011-03-05,-24.31
2011-03-06,-28.903
2011-03-07,-30.112
2011-03-08,-27.93
2011-03-09,-23.887
2011-03-10,-18.012
2011-03-11,-13.85
2011-03-12,-15.449
2011-03-13,-22.72
2011-03-14,-26.574
2011-03-15,-21.853
2011-03-16,-20.245
2011-03-17,-17.575
2011-03-18,-19.821
2011-03-19,-21.596
2011-03-20,-20.723
2011-03-21,-17.382
2011-03-22,-18.298
2011-03-23,-19.851
2011-03-24,-18.543
2011-03-25,-16.081
2011-03-26,-10.507
2011-03-27,-4.52
2011-03-28,-6.781
2011-03-29,-7.996
2011-03-30,-10.631
2011-03-31,-14.465
2011-04-01,-14.15
2011-04-02,-13.665
2011-04-03,-14.477
2011-04-04,-15.488
2011-04-05,-13.579
2011-04-06,-10.528
2011-04-07,-14.558
2011-04-08,-18.77
2011-04-09,-15.693
2011-04-10,-7.526
2011-04-11,-10.792
2011-04-12,-14.737
2011-04-13,-16.936
2011-04-14,-22.767
2011-04-15,-24.921
2011-04-16,-21.504
2011-04-17,-21.851
2011-04-18,-13.68
2011-04-19,-9.894
2011-04-20,-13.169
2011-04-21,-17.067
2011-04-22,-11.644
2011-04-23,-17.565
2011-04-24,-13.532
2011-04-25,-14.409
2011-04-26,-18.692
2011-04-27,-18.698
2011-04-28,-16.079
2011-04-29,-10.752
2011-04-30,-7.173
2011-05-01,-6.551
2011-05-02,-4.578
2011-05-03,-2.749
2011-05-04,-9.832
2011-05-05,-10.312
2011-05-06,-6.547
2011-05-07,-4.64
2011-05-08,-1.766
2011-05-09,-5.705
2011-05-10,-6.418
2011-05-11,-1.338
2011-05-12,-4.301
2011-05-13,-8.704
2011-05-14,-5.696
2011-05-15,-5.008
2011-05-16,-6.537
2011-05-17,-6.295
2011-05-18,-8.43
2011-05-19,-7.61
2011-05-20,-7.483
2011-05-21,-7.931
2011-05-22,-6.694
2011-05-23,-6.082
2011-05-24,-5.694
2011-05-25,-3.326
2011-05-26,-3.444
2011-05-27,-3.544
2011-05-28,-0.914
2011-05-29,-2.702
2011-05-30,-3.767
2011-05-31,-3.794
2011-06-01,-4.459
2011-06-02,-2.026
2011-06-03,-1.695
2011-06-04,-0.895
2011-06-05,1.006
2011-06-06,3.578
2011-06-07,0.404
