Date,T,,,,
2010-01-01,-13.16402389,,,,
2010-01-02,-5.716428383,,,,
2010-01-03,-2.324394269,,,,
2010-01-04,-2.944308133,,,,
2010-01-05,-2.336297046,,,,
2010-01-06,-1.155822072,,,,
2010-01-07,-2.466180928,,,,
2010-01-08,-7.906879659,,,,
2010-01-09,-15.9977021,,,,
2010-01-10,-18.53309467,,,,
2010-01-11,-15.7958553,,,,
2010-01-12,-13.57076809,,,,
2010-01-13,-17.40054066,,,,
2010-01-14,-16.56775057,,,,
2010-01-15,-14.41969687,,,,
2010-01-16,-18.89577894,,,,
2010-01-17,-19.32743648,,,,
2010-01-18,-19.62467024,,,,
2010-01-19,-17.28044942,,,,
2010-01-20,-13.87598591,,,,
2010-01-21,-17.46729375,,,,
2010-01-22,-20.00146463,,,,
2010-01-23,-18.88494719,,,,
2010-01-24,-20.45921576,,,,
2010-01-25,-14.37273641,,,,
2010-01-26,-4.38254244,,,,
2010-01-27,-7.938186965,,,,
2010-01-28,-12.2998818,,,,
2010-01-29,-16.19254722,,,,
2010-01-30,-14.82136206,,,,
2010-01-31,-15.85581831,,,,
2010-02-01,-22.98656861,,,,
2010-02-02,-25.32408459,,,,
2010-02-03,-23.8643792,,,,
2010-02-04,-17.78956852,,,,
2010-02-05,-9.093868075,,,,
2010-02-06,-8.242412063,,,,
2010-02-07,-5.728082692,,,,
2010-02-08,-9.536622842,,,,
2010-02-09,-9.06294346,,,,
2010-02-10,-12.22524907,,,,
2010-02-11,-10.96231441,,,,
2010-02-12,-10.91490892,,,,
2010-02-13,-8.476628618,,,,
2010-02-14,-3.448108514,,,,
2010-02-15,-1.170588891,,,,
2010-02-16,-0.879458004,,,,
2010-02-17,-1.011707049,,,,
2010-02-18,-1.054031185,,,,
2010-02-19,-1.285813968,,,,
2010-02-20,-1.609485593,,,,
2010-02-21,-1.250758134,,,,
2010-02-22,-2.287419837,,,,
2010-02-23,-1.714667446,,,,
2010-02-24,-2.44116515,,,,
2010-02-25,-4.808646455,,,,
2010-02-26,-8.27898049,,,,
2010-02-27,-5.145855355,,,,
2010-02-28,-7.792573168,,,,
2010-03-01,-18.36362952,,,,
2010-03-02,-15.71457002,,,,
2010-03-03,-15.74242046,,,,
2010-03-04,-20.08076232,,,,
2010-03-05,-12.96188267,,,,
2010-03-06,-7.11896305,,,,
2010-03-07,-8.64027416,,,,
2010-03-08,-8.05951895,,,,
2010-03-09,-9.946000936,,,,
2010-03-10,-9.934165875,,,,
2010-03-11,-10.68420768,,,,
2010-03-12,-11.87423191,,,,
2010-03-13,-7.221413305,,,,
2010-03-14,-4.405941694,,,,
2010-03-15,-4.292213306,,,,
2010-03-16,-6.339749164,,,,
2010-03-17,-8.473016747,,,,
2010-03-18,-8.593425406,,,,
2010-03-19,-11.01506372,,,,
2010-03-20,-12.9329743,,,,
2010-03-21,-14.7503082,,,,
2010-03-22,-13.03702598,,,,
2010-03-23,-17.97254816,,,,
2010-03-24,-13.27960721,,,,
2010-03-25,-8.103879511,,,,
2010-03-26,-7.585063045,,,,
2010-03-27,-16.60996795,,,,
2010-03-28,-17.22198618,,,,
2010-03-29,-14.01569979,,,,
2010-03-30,-12.1746158,,,,
2010-03-31,-9.471200605,,,,
2010-04-01,-1.622637328,,,,
2010-04-02,1.209917141,,,,
2010-04-03,-3.100263618,,,,
2010-04-04,-4.088321565,,,,
2010-04-05,0.042696721,,,,
2010-04-06,-0.002103393,,,,
2010-04-07,-1.258171329,,,,
2010-04-08,-2.164590313,,,,
2010-04-09,-3.57713465,,,,
2010-04-10,-4.129648025,,,,
2010-04-11,-2.873414754,,,,
2010-04-12,-5.868366816,,,,
2010-04-13,-9.426612769,,,,
2010-04-14,-8.952424803,,,,
2010-04-15,-10.60437067,,,,
2010-04-16,-8.448913129,,,,
2010-04-17,-4.866393849,,,,
2010-04-18,-0.049078309,,,,
2010-04-19,1.428310281,,,,
2010-04-20,0.508150497,,,,
2010-04-21,-1.616531431,,,,
2010-04-22,-0.530288618,,,,
2010-04-23,-1.555582662,,,,
2010-04-24,-3.471888277,,,,
2010-04-25,-4.200605431,,,,
2010-04-26,-2.708197742,,,,
2010-04-27,-3.518434679,,,,
2010-04-28,-0.95195545,,,,
2010-04-29,-0.064033286,,,,
2010-04-30,0.301425334,,,,
2010-05-01,1.059587303,,,,
2010-05-02,-0.510473462,,,,
2010-05-03,-1.166667116,,,,
2010-05-04,-4.163042142,,,,
2010-05-05,-5.352314611,,,,
2010-05-06,-3.297323179,,,,
2010-05-07,0.272058622,,,,
2010-05-08,1.623219886,,,,
2010-05-09,2.061609478,,,,
2010-05-10,1.496994997,,,,
2010-05-11,-0.928762825,,,,
2010-05-12,-1.212099932,,,,
2010-05-13,0.133431086,,,,
2010-05-14,-0.170814856,,,,
2010-05-15,-0.165005265,,,,
2010-05-16,0.870033939,,,,
2010-05-17,3.20266717,,,,
2010-05-18,2.448837868,,,,
2010-05-19,0.219111377,,,,
2010-05-20,-2.426140929,,,,
