Date_Time,T
2010-07-31,10.078375
2010-08-01,11.36408333
2010-08-02,12.20825
2010-08-03,13.14783333
2010-08-04,13.12291667
2010-08-05,14.19708333
2010-08-06,14.02554167
2010-08-07,12.7985
2010-08-08,11.83429167
2010-08-09,10.95941667
2010-08-10,10.35458333
2010-08-11,10.00483333
2010-08-12,10.30070833
2010-08-13,10.97975
2010-08-14,11.55883333
2010-08-15,12.64358333
2010-08-16,14.69491667
2010-08-17,16.08133333
2010-08-18,16.033625
2010-08-19,15.20625
2010-08-20,14.492375
2010-08-21,14.91075
2010-08-22,15.7865
2010-08-23,15.85508333
2010-08-24,14.43691667
2010-08-25,14.21683333
2010-08-26,15.37770833
2010-08-27,14.47295833
2010-08-28,13.17620833
2010-08-29,12.05729167
2010-08-30,10.79695833
2010-08-31,9.668708333
2010-09-01,9.334708333
2010-09-02,8.968791667
2010-09-03,9.092791667
2010-09-04,9.142
2010-09-05,8.356166667
2010-09-06,7.518791667
2010-09-07,7.545833333
2010-09-08,8.052916667
2010-09-09,8.330875
2010-09-10,8.126166667
2010-09-11,7.329375
2010-09-12,7.076833333
2010-09-13,7.814625
2010-09-14,9.218666667
2010-09-15,9.824416667
2010-09-16,10.13529167
2010-09-17,10.28154167
2010-09-18,10.27466667
2010-09-19,10.03408333
2010-09-20,9.245708333
2010-09-21,8.114583333
2010-09-22,6.715708333
2010-09-23,5.915208333
2010-09-24,5.243583333
2010-09-25,4.869083333
2010-09-26,4.514666667
2010-09-27,4.96825
2010-09-28,5.01575
2010-09-29,4.162958333
2010-09-30,3.835458333
2010-10-01,4.829083333
2010-10-02,5.187666667
2010-10-03,4.232416667
2010-10-04,4.262833333
2010-10-05,4.136458333
2010-10-06,2.893875
2010-10-07,2.703208333
2010-10-08,3.428333333
2010-10-09,3.08875
2010-10-10,3.212083333
2010-10-11,3.079875
2010-10-12,2.832125
2010-10-13,2.925041667
2010-10-14,2.823166667
2010-10-15,2.840666667
2010-10-16,2.739083333
2010-10-17,1.979583333
2010-10-18,1.434166667
2010-10-19,2.121375
2010-10-20,1.659958333
2010-10-21,1.13925
2010-10-22,1.270458333
2010-10-23,1.052708333
2010-10-24,0.89775
2010-10-25,0.738083333
2010-10-26,0.64625
2010-10-27,0.563
2010-10-28,0.4805
2010-10-29,0.453
2010-10-30,0.453
2010-10-31,0.420916667
2010-11-01,0.347583333
2010-11-02,0.343
2010-11-03,0.343
2010-11-04,0.343
2010-11-05,0.343
2010-11-06,0.329125
2010-11-07,0.306
2010-11-08,0.269
2010-11-09,0.236625
2010-11-10,0.232
2010-11-11,0.232
2010-11-12,0.232
2010-11-13,0.232
2010-11-14,0.153375
2010-11-15,0.121
2010-11-16,0.121
2010-11-17,0.121
2010-11-18,0.121
2010-11-19,0.121
2010-11-20,0.121
2010-11-21,0.1395
2010-11-22,0.153375
2010-11-23,0.153375
2010-11-24,0.171875
2010-11-25,0.181125
2010-11-26,0.218125
2010-11-27,0.22275
2010-11-28,0.2135
2010-11-29,0.232
2010-11-30,0.227375
2010-12-01,0.227375
2010-12-02,0.232
2010-12-03,0.232
2010-12-04,0.232
2010-12-05,0.232
2010-12-06,0.232
2010-12-07,0.232
2010-12-08,0.232
2010-12-09,0.232
2010-12-10,0.232
2010-12-11,0.232
2010-12-12,0.232
2010-12-13,0.2135
2010-12-14,0.121
2010-12-15,0.121
2010-12-16,0.121
2010-12-17,0.158
2010-12-18,0.227375
2010-12-19,0.227375
2010-12-20,0.232
2010-12-21,0.232
2010-12-22,0.232
2010-12-23,0.232
2010-12-24,0.232
2010-12-25,0.232
2010-12-26,0.232
2010-12-27,0.232
2010-12-28,0.22275
2010-12-29,0.125625
2010-12-30,0.121
2010-12-31,0.121
2011-01-01,0.121
2011-01-02,0.116375
2011-01-03,0.097875
2011-01-04,0.121
2011-01-05,0.121
2011-01-06,0.121
2011-01-07,0.121
2011-01-08,0.121
2011-01-09,0.121
2011-01-10,0.125625
2011-01-11,0.125625
2011-01-12,0.121
2011-01-13,0.121
2011-01-14,0.121
2011-01-15,0.121
2011-01-16,0.121
2011-01-17,0.121
2011-01-18,0.121
2011-01-19,0.121
2011-01-20,0.079375
2011-01-21,0.014625
2011-01-22,0.01
2011-01-23,0.01
2011-01-24,0.01
2011-01-25,0.01
2011-01-26,0.01
2011-01-27,0.01
2011-01-28,0.01
2011-01-29,0.01
2011-01-30,0.01
2011-01-31,0.01
2011-02-01,0.01
2011-02-02,0.01
2011-02-03,-0.032
2011-02-04,-0.102
2011-02-05,-0.102
2011-02-06,-0.102
2011-02-07,-0.102
2011-02-08,-0.1575
2011-02-09,-0.213
2011-02-10,-0.213
2011-02-11,-0.320333333
2011-02-12,-0.381
2011-02-13,-0.437
2011-02-14,-0.539666667
2011-02-15,-0.624333333
2011-02-16,-0.727333333
2011-02-17,-0.825791667
2011-02-18,-0.887
2011-02-19,-0.9535
2011-02-20,-1.001
2011-02-21,-1.001
2011-02-22,-0.99625
2011-02-23,-0.9915
2011-02-24,-1.001
2011-02-25,-1.052791667
2011-02-26,-1.114
2011-02-27,-1.114
2011-02-28,-1.13775
2011-03-01,-1.228
2011-03-02,-1.31275
2011-03-03,-1.341
2011-03-04,-1.456
2011-03-05,-1.56525
2011-03-06,-1.67925
2011-03-07,-1.760666667
2011-03-08,-1.870875
2011-03-09,-1.976833333
2011-03-10,-2.082708333
2011-03-11,-2.145
2011-03-12,-2.145
2011-03-13,-2.145
2011-03-14,-2.145
2011-03-15,-2.212666667
2011-03-16,-2.261
2011-03-17,-2.29
2011-03-18,-2.377
2011-03-19,-2.377
2011-03-20,-2.377
2011-03-21,-2.377
2011-03-22,-2.357666667
2011-03-23,-2.348
2011-03-24,-2.377
2011-03-25,-2.3965
2011-03-26,-2.48425
2011-03-27,-2.3965
2011-03-28,-2.251333333
2011-03-29,-2.068291667
2011-03-30,-1.875666667
2011-03-31,-1.7415
2011-04-01,-1.6365
2011-04-02,-1.57
2011-04-03,-1.532
2011-04-04,-1.456
2011-04-05,-1.456
2011-04-06,-1.456
2011-04-07,-1.456
2011-04-08,-1.456
2011-04-09,-1.456
2011-04-10,-1.456
2011-04-11,-1.456
2011-04-12,-1.432041667
2011-04-13,-1.341
2011-04-14,-1.341
2011-04-15,NA
2011-04-16,NA
2011-04-17,NA
2011-04-18,NA
2011-04-19,NA
2011-04-20,NA
2011-04-21,NA
2011-04-22,NA
2011-04-23,NA
2011-04-24,NA
2011-04-25,NA
2011-04-26,NA
2011-04-27,NA
2011-04-28,NA
2011-04-29,NA
2011-04-30,NA
2011-05-01,NA
2011-05-02,NA
2011-05-03,NA
2011-05-04,NA
2011-05-05,NA
2011-05-06,NA
2011-05-07,NA
2011-05-08,NA
2011-05-09,NA
2011-05-10,NA
2011-05-11,NA
2011-05-12,NA
2011-05-13,NA
2011-05-14,NA
2011-05-15,NA
2011-05-16,NA
2011-05-17,NA
2011-05-18,NA
2011-05-19,NA
2011-05-20,NA
2011-05-21,NA
2011-05-22,NA
2011-05-23,NA
2011-05-24,NA
2011-05-25,NA
2011-05-26,NA
2011-05-27,NA
2011-05-28,NA
2011-05-29,NA
2011-05-30,NA
2011-05-31,NA
2011-06-01,NA
2011-06-02,NA
2011-06-03,NA
2011-06-04,NA
2011-06-05,NA
2011-06-06,NA
2011-06-07,NA
2011-06-08,NA
2011-06-09,NA
2011-06-10,NA
2011-06-11,NA
2011-06-12,NA
2011-06-13,NA
2011-06-14,NA
2011-06-15,NA
2011-06-16,NA
2011-06-17,NA
2011-06-18,NA
2011-06-19,NA
2011-06-20,NA
2011-06-21,NA
2011-06-22,NA
2011-06-23,NA
2011-06-24,NA
2011-06-25,NA
2011-06-26,NA
2011-06-27,NA
2011-06-28,NA
2011-06-29,NA
2011-06-30,NA
2011-07-01,NA
2011-07-02,NA
2011-07-03,NA
2011-07-04,NA
2011-07-05,NA
2011-07-06,NA
2011-07-07,NA
2011-07-08,NA
2011-07-09,NA
2011-07-10,NA
2011-07-11,NA
2011-07-12,NA
2011-07-13,NA
2011-07-14,NA
2011-07-15,NA
2011-07-16,NA
2011-07-17,NA
2011-07-18,NA
2011-07-19,NA
2011-07-20,NA
2011-07-21,NA
2011-07-22,NA
2011-07-23,NA
2011-07-24,NA
2011-07-25,NA
2011-07-26,NA
2011-07-27,NA
2011-07-28,14.23223803
2011-07-29,13.68194725
2011-07-30,13.79377705
2011-07-31,12.34113111
2011-08-01,12.38032231
2011-08-02,12.3950359
2011-08-03,12.75363312
2011-08-04,13.96307001
2011-08-05,14.55840544
2011-08-06,14.74058347
2011-08-07,14.16777155
2011-08-08,14.17105035
2011-08-09,13.07442089
2011-08-10,12.67413431
2011-08-11,13.11965805
2011-08-12,13.19391467
2011-08-13,12.51181596
2011-08-14,12.34526904
2011-08-15,12.08906772
2011-08-16,11.70521168
2011-08-17,10.41297443
2011-08-18,9.318473733
2011-08-19,9.306818425
2011-08-20,9.642243577
2011-08-21,10.30852253
2011-08-22,10.1454326
2011-08-23,10.38107655
2011-08-24,11.19826284
2011-08-25,11.90529564
2011-08-26,12.00556555
2011-08-27,11.97630016
2011-08-28,11.6411376
2011-08-29,10.7860949
2011-08-30,10.34580842
2011-08-31,9.855151608
2011-09-01,9.266696766
2011-09-02,9.2044268
2011-09-03,9.62362449
2011-09-04,7.491684607
2011-09-05,6.619343021
2011-09-06,6.275917619
2011-09-07,7.166786164
2011-09-08,7.003385869
2011-09-09,6.506651704
2011-09-10,5.538638589
2011-09-11,4.581320736
2011-09-12,4.155010163
2011-09-13,3.690045118
2011-09-14,3.487974064
2011-09-15,3.436123022
2011-09-16,3.725113576
2011-09-17,3.253456849
2011-09-18,2.926684777
2011-09-19,4.632824994
2011-09-20,5.29342047
2011-09-21,4.62408851
2011-09-22,3.889196832
2011-09-23,2.908235403
2011-09-24,3.20555829
2011-09-25,4.027866387
2011-09-26,3.379025162
2011-09-27,3.039742971
2011-09-28,3.188502776
2011-09-29,4.148188456
2011-09-30,3.572913377
2011-10-01,2.647143662
2011-10-02,1.716960992
2011-10-03,1.702291947
2011-10-04,1.196716335
2011-10-05,0.897703263
2011-10-06,0.765652075
2011-10-07,0.614062718
2011-10-08,0.545529601
2011-10-09,0.452134929
2011-10-10,0.452999977
2011-10-11,0.453
2011-10-12,0.453
2011-10-13,0.453
2011-10-14,0.452999995
2011-10-15,0.452826986
2011-10-16,0.366105675
2011-10-17,0.35671826
2011-10-18,0.34301575
2011-10-19,0.343
2011-10-20,0.343
2011-10-21,0.343
2011-10-22,0.343
2011-10-23,0.343
2011-10-24,0.343
2011-10-25,0.343
2011-10-26,0.342999994
2011-10-27,0.342777485
2011-10-28,0.315461127
2011-10-29,0.2690159
2011-10-30,0.23199549
2011-10-31,0.231825413
2011-11-01,0.144299833
2011-11-02,0.120999759
2011-11-03,0.121000241
2011-11-04,0.102325476
2011-11-05,-0.004659341
2011-11-06,0.010834743
2011-11-07,0.023652507
2011-11-08,0.010205266
2011-11-09,-0.007977066
2011-11-10,-0.102676863
2011-11-11,-0.055317314
2011-11-12,0.00998733
2011-11-13,0.009173845
2011-11-14,0.024698124
2011-11-15,0.056265588
2011-11-16,0.120987465
2011-11-17,0.121
2011-11-18,0.121
2011-11-19,0.121
2011-11-20,0.1209991
2011-11-21,0.088672682
2011-11-22,0.00995322
2011-11-23,0.01
2011-11-24,0.010047202
2011-11-25,-0.064714778
2011-11-26,-0.101999092
2011-11-27,-0.102
2011-11-28,-0.1019955
2011-11-29,-0.134613391
2011-11-30,-0.212108725
2011-12-01,-0.320333327
2011-12-02,-0.437657129
2011-12-03,-0.455843097
2011-12-04,-0.549001555
2011-12-05,-0.63761947
2011-12-06,-0.811703522
2011-12-07,-1.138357411
2011-12-08,-1.560689022
2011-12-09,-1.450446119
2011-12-10,-1.570171215
2011-12-11,-1.975850567
2011-12-12,-2.397832885
2011-12-13,-2.319148605
2011-12-14,-2.328750994
2011-12-15,-2.131593191
2011-12-16,-1.817269198
2011-12-17,-1.687819724
2011-12-18,-2.097580124
2011-12-19,-2.488876991
2011-12-20,-2.770939196
2011-12-21,-3.12039053
2011-12-22,-3.20053698
2011-12-23,-3.78283896
2011-12-24,-4.999865863
2011-12-25,-5.403904259
2011-12-26,-5.057454139
2011-12-27,-5.377122135
2011-12-28,-5.86109685
2011-12-29,-5.880125994
2011-12-30,-5.212357373
2011-12-31,-5.544547949
2012-01-01,-5.744306958
2012-01-02,-5.704732492
2012-01-03,-5.0239315
2012-01-04,-4.271072492
2012-01-05,-4.15272874
2012-01-06,-3.970145315
2012-01-07,-3.662545415
2012-01-08,-3.458928693
2012-01-09,-3.433999735
2012-01-10,-3.433814402
2012-01-11,-3.340719443
2012-01-12,-3.394031749
2012-01-13,-3.628411318
2012-01-14,-3.792718517
2012-01-15,-3.949961686
2012-01-16,-4.902302449
2012-01-17,-5.403651357
2012-01-18,-5.790949112
2012-01-19,-6.110050773
2012-01-20,-6.292939555
2012-01-21,-6.594564679
2012-01-22,-6.525166164
2012-01-23,-7.361505434
2012-01-24,-7.764747219
2012-01-25,-7.419804003
2012-01-26,-6.727827769
2012-01-27,-6.198332185
2012-01-28,-5.995947991
2012-01-29,-5.822915748
2012-01-30,-5.465030436
2012-01-31,-5.100187833
2012-02-01,-4.940822491
2012-02-02,-5.089192014
2012-02-03,-5.36228421
2012-02-04,-5.341425775
2012-02-05,-5.392683409
2012-02-06,-5.53191829
2012-02-07,-5.615627632
2012-02-08,-5.566891818
2012-02-09,-5.802256442
2012-02-10,-6.153190632
2012-02-11,-6.509319804
2012-02-12,-6.679409346
2012-02-13,-6.701383205
2012-02-14,-6.457079579
2012-02-15,-6.251341693
2012-02-16,-6.114786235
2012-02-17,-5.973239798
2012-02-18,-5.818081259
2012-02-19,-5.678050553
2012-02-20,-5.469294721
2012-02-21,-5.274766547
2012-02-22,-5.249000709
2012-02-23,-5.284090607
2012-02-24,-5.542604376
2012-02-25,-5.709315305
2012-02-26,-5.599071379
2012-02-27,-5.42976811
2012-02-28,-5.257801877
2012-02-29,-5.383282905
2012-03-01,-5.615126072
2012-03-02,-5.843813118
2012-03-03,-5.869948678
2012-03-04,-5.994248413
2012-03-05,-6.330772963
2012-03-06,-6.493784787
2012-03-07,-6.62674569
2012-03-08,-6.604637133
2012-03-09,-6.446735233
2012-03-10,-6.288239489
2012-03-11,-6.330726021
2012-03-12,-6.315554101
2012-03-13,-6.098244235
2012-03-14,-6.016212611
2012-03-15,-6.047431782
2012-03-16,-5.630794849
2012-03-17,-5.109929518
2012-03-18,-5.038317344
2012-03-19,-5.014149089
2012-03-20,-4.910171323
2012-03-21,-5.120358296
2012-03-22,-5.146578274
2012-03-23,-4.772748742
2012-03-24,-4.788369673
2012-03-25,-5.387958909
2012-03-26,-6.031597846
2012-03-27,-6.394519721
2012-03-28,-6.372984126
2012-03-29,-6.272657277
2012-03-30,-6.204815513
2012-03-31,-5.90554545
2012-04-01,-5.640996321
2012-04-02,-5.392590974
2012-04-03,-5.096024448
2012-04-04,-4.74273911
2012-04-05,-4.412032993
2012-04-06,-4.142191429
2012-04-07,-3.930862879
2012-04-08,-3.727018155
2012-04-09,-3.578025626
2012-04-10,-3.473601965
2012-04-11,-3.370101194
2012-04-12,-3.31599643
2012-04-13,-3.316
2012-04-14,-3.316
2012-04-15,-3.316
2012-04-16,-3.316000957
2012-04-17,-3.350362377
2012-04-18,-3.483651068
2012-04-19,-3.587643778
2012-04-20,-3.672050152
2012-04-21,-3.671999914
2012-04-22,-3.667041754
2012-04-23,-3.662069983
2012-04-24,-3.607559342
2012-04-25,-3.489600705
2012-04-26,-2.790491588
2012-04-27,-2.28553017
2012-04-28,-1.962343492
2012-04-29,-1.798996471
2012-04-30,-1.692908183
2012-05-01,-1.684000067
2012-05-02,-1.683984353
2012-05-03,-1.152600261
2012-05-04,-0.176362076
2012-05-05,-0.152890002
2012-05-06,-0.101983994
2012-05-07,-0.04134937
2012-05-08,0.010003389
2012-05-09,0.01
2012-05-10,0.01
2012-05-11,0.01
2012-05-12,0.01
2012-05-13,0.009995718
2012-05-14,0.02306564
2012-05-15,0.098689849
2012-05-16,0.120998793
2012-05-17,0.121
2012-05-18,0.121
2012-05-19,0.121
2012-05-20,0.121
2012-05-21,0.121
2012-05-22,0.121
2012-05-23,0.121
2012-05-24,0.121
2012-05-25,0.121
2012-05-26,0.121
2012-05-27,0.121
2012-05-28,0.121
2012-05-29,0.121
2012-05-30,0.121
2012-05-31,0.121
2012-06-01,0.121
2012-06-02,0.121
2012-06-03,0.121000066
2012-06-04,0.125044117
2012-06-05,2.848803077
2012-06-06,3.301958424
2012-06-07,4.228422892
2012-06-08,4.516371306
2012-06-09,3.800087716
2012-06-10,2.838895844
2012-06-11,3.762224162
2012-06-12,3.116119056
2012-06-13,6.561811907
2012-06-14,6.695023362
2012-06-15,6.749083693
2012-06-16,8.017180804
2012-06-17,9.577056859
2012-06-18,10.50129827
2012-06-19,12.38029198
2012-06-20,13.06076979
2012-06-21,10.37074495
2012-06-22,9.807280363
2012-06-23,10.76250501
2012-06-24,10.13306154
2012-06-25,10.37004212
2012-06-26,10.90155203
2012-06-27,12.07089048
2012-06-28,11.6204477
2012-06-29,10.46817539
2012-06-30,10.76613654
2012-07-01,10.20735898
2012-07-02,10.69496178
2012-07-03,11.87992441
2012-07-04,11.76854268
2012-07-05,11.81541613
2012-07-06,11.62416473
2012-07-07,12.49002806
2012-07-08,10.6655348
2012-07-09,9.110701529
2012-07-10,9.696707408
2012-07-11,8.895043409
2012-07-12,9.360389755
2012-07-13,8.92222932
2012-07-14,9.41156515
2012-07-15,10.29386868
2012-07-16,9.94124861
2012-07-17,7.486775465
2012-07-18,8.346481473
2012-07-19,8.667276686
2012-07-20,9.91683211
2012-07-21,11.13960321
2012-07-22,12.12664552
2012-07-23,13.02707656
2012-07-24,12.09553806
2012-07-25,11.23480608
2012-07-26,10.88846156
2012-07-27,10.32565882
2012-07-28,10.82772836
2012-07-29,11.83427913
2012-07-30,12.19149483
2012-07-31,12.74346214
2012-08-01,12.92623536
2012-08-02,12.25693504
2012-08-03,9.475256304
2012-08-04,8.815185151
2012-08-05,9.407685444
2012-08-06,10.22088069
2012-08-07,9.909839178
2012-08-08,10.07598048
2012-08-09,9.230708395
2012-08-10,9.393079061
2012-08-11,10.81027407
2012-08-12,11.83558782
2012-08-13,12.95089833
2012-08-14,14.2146435
2012-08-15,13.99233235
2012-08-16,14.72559923
2012-08-17,15.43948516
2012-08-18,15.1654398
2012-08-19,15.27527849
2012-08-20,15.4916658
2012-08-21,15.03561282
2012-08-22,14.29235969
2012-08-23,13.26722689
2012-08-24,13.12518243
2012-08-25,12.99048721
