Date_Time,T
2010-07-31 0:00,8.282
2010-07-31 1:00,7.882
2010-07-31 2:00,7.582
2010-07-31 3:00,7.28
2010-07-31 4:00,6.978
2010-07-31 5:00,6.674
2010-07-31 6:00,6.37
2010-07-31 7:00,6.166
2010-07-31 8:00,5.962
2010-07-31 9:00,5.962
2010-07-31 10:00,6.064
2010-07-31 11:00,6.471
2010-07-31 12:00,6.978
2010-07-31 13:00,7.481
2010-07-31 14:00,8.082
2010-07-31 15:00,8.68
2010-07-31 16:00,9.373
2010-07-31 17:00,9.866
2010-07-31 18:00,10.063
2010-07-31 19:00,10.259
2010-07-31 20:00,10.259
2010-07-31 21:00,10.161
2010-07-31 22:00,9.965
2010-07-31 23:00,9.669
2010-08-01 0:00,9.275
2010-08-01 1:00,8.978
2010-08-01 2:00,8.68
2010-08-01 3:00,8.382
2010-08-01 4:00,8.182
2010-08-01 5:00,7.983
2010-08-01 6:00,7.782
2010-08-01 7:00,7.582
2010-08-01 8:00,7.481
2010-08-01 9:00,7.481
2010-08-01 10:00,7.582
2010-08-01 11:00,7.782
2010-08-01 12:00,8.082
2010-08-01 13:00,8.481
2010-08-01 14:00,8.879
2010-08-01 15:00,9.373
2010-08-01 16:00,9.768
2010-08-01 17:00,10.063
2010-08-01 18:00,10.259
2010-08-01 19:00,10.455
2010-08-01 20:00,10.553
2010-08-01 21:00,10.553
2010-08-01 22:00,10.357
2010-08-01 23:00,10.063
2010-08-02 0:00,9.669
2010-08-02 1:00,9.275
2010-08-02 2:00,8.978
2010-08-02 3:00,8.68
2010-08-02 4:00,8.382
2010-08-02 5:00,8.082
2010-08-02 6:00,7.882
2010-08-02 7:00,7.682
2010-08-02 8:00,7.481
2010-08-02 9:00,7.381
2010-08-02 10:00,7.481
2010-08-02 11:00,7.782
2010-08-02 12:00,8.282
2010-08-02 13:00,8.879
2010-08-02 14:00,9.571
2010-08-02 15:00,10.259
2010-08-02 16:00,10.748
2010-08-02 17:00,11.041
2010-08-02 18:00,11.334
2010-08-02 19:00,11.722
2010-08-02 20:00,11.916
2010-08-02 21:00,11.916
2010-08-02 22:00,11.722
2010-08-02 23:00,11.431
2010-08-03 0:00,11.041
2010-08-03 1:00,10.553
2010-08-03 2:00,10.161
2010-08-03 3:00,9.866
2010-08-03 4:00,9.571
2010-08-03 5:00,9.373
2010-08-03 6:00,9.275
2010-08-03 7:00,9.077
2010-08-03 8:00,8.978
2010-08-03 9:00,8.879
2010-08-03 10:00,8.779
2010-08-03 11:00,8.779
2010-08-03 12:00,8.879
2010-08-03 13:00,8.978
2010-08-03 14:00,9.077
2010-08-03 15:00,9.275
2010-08-03 16:00,9.472
2010-08-03 17:00,9.768
2010-08-03 18:00,10.063
2010-08-03 19:00,10.455
2010-08-03 20:00,10.651
2010-08-03 21:00,10.748
2010-08-03 22:00,10.651
2010-08-03 23:00,10.553
2010-08-04 0:00,10.259
2010-08-04 1:00,9.866
2010-08-04 2:00,9.472
2010-08-04 3:00,9.077
2010-08-04 4:00,8.68
2010-08-04 5:00,8.382
2010-08-04 6:00,8.182
2010-08-04 7:00,7.983
2010-08-04 8:00,7.782
2010-08-04 9:00,7.782
2010-08-04 10:00,7.882
2010-08-04 11:00,8.082
2010-08-04 12:00,8.382
2010-08-04 13:00,9.077
2010-08-04 14:00,9.768
2010-08-04 15:00,10.357
2010-08-04 16:00,10.846
2010-08-04 17:00,11.041
2010-08-04 18:00,11.139
2010-08-04 19:00,11.334
2010-08-04 20:00,11.528
2010-08-04 21:00,11.625
2010-08-04 22:00,11.528
2010-08-04 23:00,11.334
2010-08-05 0:00,11.041
2010-08-05 1:00,10.846
2010-08-05 2:00,10.651
2010-08-05 3:00,10.455
2010-08-05 4:00,10.357
2010-08-05 5:00,10.259
2010-08-05 6:00,10.161
2010-08-05 7:00,10.063
2010-08-05 8:00,10.063
2010-08-05 9:00,10.063
2010-08-05 10:00,10.161
2010-08-05 11:00,10.357
2010-08-05 12:00,10.651
2010-08-05 13:00,11.041
2010-08-05 14:00,11.431
2010-08-05 15:00,11.916
2010-08-05 16:00,12.401
2010-08-05 17:00,12.69
2010-08-05 18:00,12.883
2010-08-05 19:00,12.98
2010-08-05 20:00,12.883
2010-08-05 21:00,12.787
2010-08-05 22:00,12.594
2010-08-05 23:00,12.497
2010-08-06 0:00,12.207
2010-08-06 1:00,11.916
2010-08-06 2:00,11.625
2010-08-06 3:00,11.236
2010-08-06 4:00,10.944
2010-08-06 5:00,10.651
2010-08-06 6:00,10.357
2010-08-06 7:00,10.063
2010-08-06 8:00,9.866
2010-08-06 9:00,9.669
2010-08-06 10:00,9.571
2010-08-06 11:00,9.669
2010-08-06 12:00,9.866
2010-08-06 13:00,10.161
2010-08-06 14:00,10.455
2010-08-06 15:00,10.748
2010-08-06 16:00,10.944
2010-08-06 17:00,11.139
2010-08-06 18:00,11.236
2010-08-06 19:00,11.431
2010-08-06 20:00,11.528
2010-08-06 21:00,11.528
2010-08-06 22:00,11.334
2010-08-06 23:00,11.139
2010-08-07 0:00,10.846
2010-08-07 1:00,10.553
2010-08-07 2:00,10.259
2010-08-07 3:00,10.063
2010-08-07 4:00,9.866
2010-08-07 5:00,9.669
2010-08-07 6:00,9.472
2010-08-07 7:00,9.176
2010-08-07 8:00,9.077
2010-08-07 9:00,8.879
2010-08-07 10:00,8.779
2010-08-07 11:00,8.779
2010-08-07 12:00,8.879
2010-08-07 13:00,8.978
2010-08-07 14:00,9.176
2010-08-07 15:00,9.373
2010-08-07 16:00,9.571
2010-08-07 17:00,9.768
2010-08-07 18:00,9.965
2010-08-07 19:00,10.063
2010-08-07 20:00,10.063
2010-08-07 21:00,10.063
2010-08-07 22:00,9.866
2010-08-07 23:00,9.768
2010-08-08 0:00,9.571
2010-08-08 1:00,9.275
2010-08-08 2:00,9.077
2010-08-08 3:00,8.879
2010-08-08 4:00,8.779
2010-08-08 5:00,8.68
2010-08-08 6:00,8.481
2010-08-08 7:00,8.382
2010-08-08 8:00,8.282
2010-08-08 9:00,8.182
2010-08-08 10:00,8.182
2010-08-08 11:00,8.182
2010-08-08 12:00,8.282
2010-08-08 13:00,8.481
2010-08-08 14:00,8.879
2010-08-08 15:00,9.373
2010-08-08 16:00,9.965
2010-08-08 17:00,10.357
2010-08-08 18:00,10.748
2010-08-08 19:00,10.944
2010-08-08 20:00,11.041
2010-08-08 21:00,10.944
2010-08-08 22:00,10.846
2010-08-08 23:00,10.455
2010-08-09 0:00,10.063
2010-08-09 1:00,9.768
2010-08-09 2:00,9.373
2010-08-09 3:00,9.077
2010-08-09 4:00,8.779
2010-08-09 5:00,8.481
2010-08-09 6:00,8.182
2010-08-09 7:00,7.882
2010-08-09 8:00,7.682
2010-08-09 9:00,7.582
2010-08-09 10:00,7.481
2010-08-09 11:00,7.481
2010-08-09 12:00,7.582
2010-08-09 13:00,7.682
2010-08-09 14:00,7.882
2010-08-09 15:00,8.182
2010-08-09 16:00,8.382
2010-08-09 17:00,8.382
2010-08-09 18:00,8.382
2010-08-09 19:00,8.282
2010-08-09 20:00,8.282
2010-08-09 21:00,8.182
2010-08-09 22:00,7.983
2010-08-09 23:00,7.882
2010-08-10 0:00,7.782
2010-08-10 1:00,7.582
2010-08-10 2:00,7.481
2010-08-10 3:00,7.28
2010-08-10 4:00,7.179
2010-08-10 5:00,7.079
2010-08-10 6:00,6.978
2010-08-10 7:00,6.877
2010-08-10 8:00,6.775
2010-08-10 9:00,6.674
2010-08-10 10:00,6.775
2010-08-10 11:00,6.978
2010-08-10 12:00,7.381
2010-08-10 13:00,7.882
2010-08-10 14:00,8.481
2010-08-10 15:00,9.077
2010-08-10 16:00,9.571
2010-08-10 17:00,9.866
2010-08-10 18:00,10.063
2010-08-10 19:00,10.161
2010-08-10 20:00,10.161
2010-08-10 21:00,9.965
2010-08-10 22:00,9.571
2010-08-10 23:00,9.275
2010-08-11 0:00,8.879
2010-08-11 1:00,8.481
2010-08-11 2:00,8.182
2010-08-11 3:00,7.983
2010-08-11 4:00,7.782
2010-08-11 5:00,7.481
2010-08-11 6:00,7.28
2010-08-11 7:00,7.079
2010-08-11 8:00,6.978
2010-08-11 9:00,6.877
2010-08-11 10:00,6.877
2010-08-11 11:00,6.978
2010-08-11 12:00,7.179
2010-08-11 13:00,7.481
2010-08-11 14:00,7.882
2010-08-11 15:00,8.282
2010-08-11 16:00,8.481
2010-08-11 17:00,8.68
2010-08-11 18:00,8.68
2010-08-11 19:00,8.68
2010-08-11 20:00,8.68
2010-08-11 21:00,8.581
2010-08-11 22:00,8.581
2010-08-11 23:00,8.382
2010-08-12 0:00,8.082
2010-08-12 1:00,7.882
2010-08-12 2:00,7.582
2010-08-12 3:00,7.28
2010-08-12 4:00,7.079
2010-08-12 5:00,6.775
2010-08-12 6:00,6.573
2010-08-12 7:00,6.471
2010-08-12 8:00,6.37
2010-08-12 9:00,6.37
2010-08-12 10:00,6.573
2010-08-12 11:00,6.877
2010-08-12 12:00,7.381
2010-08-12 13:00,7.782
2010-08-12 14:00,8.182
2010-08-12 15:00,8.581
2010-08-12 16:00,9.176
2010-08-12 17:00,9.768
2010-08-12 18:00,10.259
2010-08-12 19:00,10.553
2010-08-12 20:00,10.651
2010-08-12 21:00,10.455
2010-08-12 22:00,10.161
2010-08-12 23:00,9.768
2010-08-13 0:00,9.472
2010-08-13 1:00,9.077
2010-08-13 2:00,8.68
2010-08-13 3:00,8.382
2010-08-13 4:00,8.082
2010-08-13 5:00,7.782
2010-08-13 6:00,7.481
2010-08-13 7:00,7.179
2010-08-13 8:00,6.978
2010-08-13 9:00,6.775
2010-08-13 10:00,6.775
2010-08-13 11:00,7.079
2010-08-13 12:00,7.481
2010-08-13 13:00,7.983
2010-08-13 14:00,8.779
2010-08-13 15:00,9.571
2010-08-13 16:00,10.259
2010-08-13 17:00,10.748
2010-08-13 18:00,11.139
2010-08-13 19:00,11.334
2010-08-13 20:00,11.528
2010-08-13 21:00,11.528
2010-08-13 22:00,11.236
2010-08-13 23:00,10.846
2010-08-14 0:00,10.357
2010-08-14 1:00,9.866
2010-08-14 2:00,9.373
2010-08-14 3:00,8.978
2010-08-14 4:00,8.68
2010-08-14 5:00,8.382
2010-08-14 6:00,8.082
2010-08-14 7:00,7.882
2010-08-14 8:00,7.782
2010-08-14 9:00,7.682
2010-08-14 10:00,7.682
2010-08-14 11:00,7.782
2010-08-14 12:00,8.082
2010-08-14 13:00,8.382
2010-08-14 14:00,8.879
2010-08-14 15:00,9.275
2010-08-14 16:00,9.768
